ID,y
1,84805616.0
2,88954616.0
3,73516512.0
4,92293720.0
5,86900824.0
8,94848104.0
10,99408984.0
11,77341384.0
12,83135344.0
14,82209416.0
15,80715336.0
16,89844656.0
17,79724360.0
19,77505352.0
20,91676920.0
21,80832728.0
22,78078600.0
23,78977280.0
26,77282064.0
28,70548576.0
29,78821064.0
33,78718008.0
35,72725328.0
41,80711240.0
42,84440664.0
43,84187744.0
45,85587336.0
46,90441000.0
51,71447152.0
53,78407560.0
55,73877400.0
56,89122632.0
57,85295512.0
58,78331464.0
59,91995744.0
63,85802744.0
64,89492728.0
65,92513144.0
69,76041856.0
71,77371528.0
72,88117632.0
73,70301856.0
76,85329160.0
77,82229752.0
78,85055000.0
82,76513480.0
83,92052520.0
84,75142624.0
85,85448696.0
87,82299224.0
88,79503600.0
89,82183096.0
91,75148576.0
93,78175488.0
94,71985624.0
95,86123848.0
96,83524352.0
97,72565672.0
98,76156680.0
99,77915168.0
101,86630920.0
103,81824472.0
104,83412632.0
105,81657320.0
110,76387328.0
111,80386120.0
113,84812760.0
114,82268112.0
115,86784808.0
117,81465272.0
120,83590232.0
121,83628984.0
122,73021096.0
123,80128136.0
126,83306272.0
132,73950792.0
135,83629720.0
137,86410824.0
138,80807400.0
140,85648392.0
142,82293176.0
144,83972128.0
148,72971416.0
149,81879304.0
155,79129120.0
156,85612168.0
157,71024200.0
162,74479160.0
163,84331048.0
167,81036376.0
172,80886712.0
179,77497512.0
180,73294976.0
181,84993088.0
182,78670256.0
183,79773464.0
185,79721800.0
187,80290184.0
188,74178744.0
189,68392680.0
191,77069008.0
192,88982696.0
193,86039376.0
194,83774920.0
195,75400904.0
196,73882392.0
198,70276168.0
199,80060584.0
201,88704200.0
204,76911208.0
205,85889144.0
206,84508184.0
210,75922264.0
211,83830152.0
216,83711960.0
219,78977240.0
220,77642584.0
221,83933008.0
226,83821800.0
227,70242824.0
228,77845272.0
230,83046504.0
231,69123960.0
235,74501120.0
236,78724392.0
238,83902656.0
242,68293432.0
243,72327208.0
244,78067088.0
245,77717144.0
247,70815096.0
248,72695272.0
249,79188632.0
250,75575688.0
251,78339928.0
253,74047152.0
254,78688424.0
256,73352696.0
257,72696776.0
258,76405688.0
259,74696728.0
262,68344048.0
266,82742200.0
267,68345464.0
272,76523880.0
273,77465752.0
275,70697992.0
276,72190232.0
279,73500136.0
280,87015440.0
283,78736088.0
285,77017432.0
288,77081192.0
289,80761408.0
290,85992568.0
291,70459288.0
292,62214940.0
293,82123240.0
296,76542040.0
297,68946376.0
298,79228296.0
299,70367936.0
304,78422176.0
305,85263464.0
306,76629040.0
307,80638088.0
311,83460744.0
313,81230376.0
314,75993688.0
316,77572056.0
